Entry	Gene names	Gene names  (synonym )	Gene names  (ordered locus )	Organism ID
STM0845	moeB STM0845		STM0845	99287
STM2810	proW STM2810		STM2810	99287
STM2559	cadA ldcI STM2559	ldcI	STM2559	99287
STM0999	ompF STM0999		STM0999	99287
STM2872	prgJ STM2872		STM2872	99287
STM4016	ompL STM4016		STM4016	99287
STM1492	osmW STM1492		STM1492	99287
STM1494	osmY STM1494		STM1494	99287
STM3994	mobA STM3994		STM3994	99287
STM2780	pipB2 STM2780		STM2780	99287
STM4541	mdoB opgB STM4541	opgB	STM4541	99287
STM0846	moeA STM0846		STM0846	99287
STM3301	obg yhbZ STM3301	yhbZ	STM3301	99287
STM0367	prpR STM0367		STM0367	99287
STM3220	rlmG STM3220		STM3220	99287
STM1743	oppD STM1743		STM1743	99287
STM0163	pdxA2 STM0163		STM0163	99287
STM3422	rpmD STM3422		STM3422	99287
STM0788	hutG STM0788		STM0788	99287
STM3937	hemD STM3937 STMD1.54		STM3937	99287
STM1450	pdxY STM1450		STM1450	99287
STM3371	yhdE STM3371		STM3371	99287
STM1986	yedP STM1986		STM1986	99287
STM3195	ribB STM3195		STM3195	99287
STM0804	moaC STM0804		STM0804	99287
STM1130	nanM STM1130		STM1130	99287
STM1742	oppF STM1742		STM1742	99287
STM0851	gsiD STM0851		STM0851	99287
STM3874	mnmG gidA STM3874	gidA	STM3874	99287
STM4075	lsrC STM4075		STM4075	99287
STM1519	marA STM1519		STM1519	99287
STM0329	leuC2 STM0329		STM0329	99287
STM0849	gsiB STM0849		STM0849	99287
STM1334	infC STM1334		STM1334	99287
STM3039	idi STM3039		STM3039	99287
STM4414	ppa STM4414		STM4414	99287
STM2267	ompC STM2267		STM2267	99287
STM3414	rplQ STM3414		STM3414	99287
STM0826	rlmF STM0826		STM0826	99287
STM3577	tcp STM3577		STM3577	99287
STM0228	lpxA STM0228		STM0228	99287
STM1207	lpoB STM1207		STM1207	99287
STM2875	hilD STM2875		STM2875	99287
STM1166	mdtH STM1166		STM1166	99287
STM4584	yjjX STM4584		STM4584	99287
STM2039	pduB STM2039		STM2039	99287
STM4452	nrdD STM4452		STM4452	99287
STM1732	ompW STM1732		STM1732	99287
STM1799	emtA STM1799		STM1799	99287
STM2580	era STM2580		STM2580	99287
STM4034	fdhE STM4034		STM4034	99287
STM2379	mnmC STM2379		STM2379	99287
STM1200	tmk STM1200		STM1200	99287
STM2683	nadK STM2683		STM2683	99287
STM0806	moaE STM0806		STM0806	99287
STM0802	moaA STM0802		STM0802	99287
STM2047	pduL STM2047		STM2047	99287
STM1491	osmV STM1491		STM1491	99287
STM1746	oppA STM1746		STM1746	99287
